"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","63","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","104","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","9","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","43","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","28","1","0.000000","0","0"
"/Game/FPS_Game/Weapons/FPWeapon/Materials/M_White_Plastic.M_White_Plastic","0","37","1","1","135.582291","0","101"
"/Game/FPS_Game/Weapons/FPProjectile/BaseMaterial.BaseMaterial","0","51","14","1","136.863068","0","1120"
"/Game/FPS_Game/Particles/Materials/M_radial_ramp_soft.M_radial_ramp_soft","0","27","1","1","43.717056","0","353"
"/Game/FPS_Game/Particles/Materials/M_Radial_Gradient_UFO.M_Radial_Gradient_UFO","0","27","1","1","44.148724","0","358"
"/Game/FPS_Game/Particles/Materials/M_Beam.M_Beam","0","18","1","1","33.364788","0","188"
"/Game/FPS_Game/Materials/OutlineForPickups/PP_OutlineCustomDepth.PP_OutlineCustomDepth","0","6","1","1","12.130963","0","26"
"/Game/FPS_Game/Materials/WireframeMaterial.WireframeMaterial","0","30","1","1","86.242760","0","534"
"/Game/FPS_Game/Materials/M_Nothing.M_Nothing","0","48","2","1","208.807068","0","986"
"/Game/FPS_Game/Materials/M_Emmisive.M_Emmisive","0","37","1","1","132.335602","0","707"
"/Game/FPS_Game/Materials/M_ColorBase.M_ColorBase","0","37","1","1","108.100052","0","615"
"/Game/FPS_Game/Materials/M_Basic_Wall.M_Basic_Wall","0","37","1","1","121.611588","0","419"
"/Game/FPS_Game/Materials/M_Basic_Floor.M_Basic_Floor","0","37","1","1","134.148499","0","209"
"/Game/FPS_Game/Materials/M_AssetPlatform.M_AssetPlatform","0","37","5","1","110.669464","0","195"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","36","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","84","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","0","4","1","0.000000","0","0"
"/Engine/MapTemplates/Materials/BasicAsset01.BasicAsset01","0","0","37","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Game/ThirdPerson/Assets/Warthog/Tires.Tires","0","14","1","1","40.036304","0","118"
"/Game/ThirdPerson/Assets/Warthog/Lights.Lights","0","14","1","1","36.211636","0","105"
"/Game/ThirdPerson/Assets/Warthog/Interior.Interior","0","14","1","1","38.587700","0","106"
"/Game/ThirdPerson/Assets/Warthog/Glass.Glass","0","14","1","1","40.552193","0","96"
"/Game/ThirdPerson/Assets/Warthog/Body.Body","0","14","1","1","37.868839","0","113"
"/Game/ThirdPerson/Assets/SandBags/T_SBFlat_ORIGINAL_Mat.T_SBFlat_ORIGINAL_Mat","0","14","1","1","41.766487","0","88"
"/Game/ThirdPerson/Assets/Pipes/Mat_3.Mat_3","0","14","1","1","39.225616","0","73"
"/Game/ThirdPerson/Assets/Alien_Anim/alien.alien","0","28","1","1","89.378838","0","228"
"/Game/ThirdPerson/Assets/Alien/alien.alien","0","28","1","1","0.000000","0","228"
"/Game/FPS_Game/Weapons/FPWeapon/Materials/M_ShooterGame_Rifle_BottomPart.M_ShooterGame_Rifle_BottomPart","0","28","1","1","71.546906","0","231"
"/Game/FPS_Game/Weapons/FPWeapon/Materials/M_ShooterGame_Rifle.M_ShooterGame_Rifle","0","28","1","1","71.923492","0","221"
"/Game/FPS_Game/Weapons/FPWeapon/Materials/M_Metal_Soft.M_Metal_Soft","0","37","1","1","111.685806","0","321"
"/Game/FPS_Game/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","44","1","1","87.439331","0","437"
"/Game/FPS_Game/Particles/Materials/M_MuzzleSmokeDetail_GPU.M_MuzzleSmokeDetail_GPU","0","36","1","1","58.550781","0","395"
"/Game/FPS_Game/Particles/Materials/M_spark_subUV.M_spark_subUV","0","27","1","1","46.137691","0","241"
"/Game/FPS_Game/Particles/Materials/M_SmokeBall.M_SmokeBall","0","36","1","1","60.949673","0","289"
"/Game/FPS_Game/Particles/Materials/M_Impact_Ripple.M_Impact_Ripple","0","55","1","1","69.208641","0","559"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","13","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","13","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","75","2","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","104","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","56","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","101","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","167","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","84","1288","1","229.978226","0","878"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","66","6","0.000000","0","9"
